pub,sub,sent_at,received_at,latency
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:03.775924,67.147
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:05.753097,44.32
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:07.097603,388.826
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:07.881581,172.804
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:09.511160,802.383
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:10.751825,43.048
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:11.754873,46.096
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:14.747952,39.175
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:15.816384,107.607
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:15.902770,193.993
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:17.755002,46.225
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:18.787858,79.081
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:19.782219,73.442
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:21.765867,57.09
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:22.761166,52.389
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:23.761815,53.038
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:24.958453,249.676
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:25.961604,252.827
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:26.975617,266.84
pub,sub,2023-02-10 01:11:04.708777,2023-02-10 01:13:28.565486,856.709
